datetime,energy,temp,feelslike,dew,humidity,response
2023-01-12T04:00:00,14.9,24.8,24.8,23.8,94.16,2
2023-01-12T05:00:00,15.4,25.1,25.1,23.2,89.31,2
2023-01-12T06:00:00,13,25,25,23,88.7,2
2023-01-12T07:00:00,25,24,24,23,94.15,2
2023-01-12T08:00:00,56.3,24.2,24.2,23.2,94.16,2
2023-01-12T09:00:00,114.7,26.1,26.1,23.8,87.26,1
2023-01-12T10:00:00,159.2,28.1,31.4,23,74.08,1
2023-01-12T11:00:00,161.9,29.3,33.9,23.9,72.74,1
2023-01-12T12:00:00,161.3,30,36.2,25,74.57,1
2023-01-12T13:00:00,175,30.8,36,23.8,66.3,1
2023-01-12T14:00:00,187.1,31.7,38.4,24.7,66.49,1
2023-01-12T15:00:00,169.8,32,37.8,23.9,62.27,1
2023-01-12T16:00:00,160.7,31,35.5,23,62.48,1
2023-01-12T17:00:00,146.4,31.1,36.4,23.8,65.23,1
2023-01-12T18:00:00,123.7,29.7,34.7,24,71.38,1
2023-01-12T19:00:00,93.9,29,33.6,24,74.43,1
2023-01-12T20:00:00,59.5,27.1,30.3,24.1,83.64,1
2023-01-12T21:00:00,54.4,26.7,29.9,24.8,89.07,1
2023-01-12T22:00:00,39.1,26,26,25,94.16,2
2023-01-12T23:00:00,27.6,26.1,26.1,24.8,92.59,1
2023-01-13T00:00:00,25.4,26,26,25,94.18,2
2023-01-13T01:00:00,24,26,26,24.2,89.64,2
2023-01-13T02:00:00,26.3,26.7,29.5,23.9,84.52,1
2023-01-13T03:00:00,25.6,26,26,24,88.76,2
2023-01-13T04:00:00,27.2,25.8,25.8,23.8,88.74,2
2023-01-13T05:00:00,21.7,25.3,25.3,23.8,91.37,2
2023-01-13T06:00:00,18.2,25,25,23,88.66,2
2023-01-13T07:00:00,26,24.1,24.1,22.9,93.15,2
2023-01-13T08:00:00,51.6,24.7,24.7,22.9,89.54,2
2023-01-13T09:00:00,90.1,26,26,23.1,83.83,2
2023-01-13T10:00:00,147.1,27.1,30.1,23.7,81.97,1
2023-01-13T11:00:00,152.6,28,31.3,23.1,74.54,1
2023-01-13T12:00:00,141.2,29,33.4,23.8,73.42,1
2023-01-13T13:00:00,143.6,30,34.3,23.2,66.85,1
2023-01-13T14:00:00,174.5,30.8,36.1,23.9,66.78,1
2023-01-13T15:00:00,169.2,31.1,36.4,23.8,65.26,1
2023-01-13T16:00:00,176.9,32,37.9,24,62.73,1
2023-01-13T17:00:00,158.9,30.1,37.2,25.7,77.59,1
2023-01-13T18:00:00,127.6,29,34.6,25,79.02,1
2023-01-13T19:00:00,95.3,28,32.7,25,83.74,1
2023-01-13T20:00:00,65.1,27.1,30.7,24.9,87.91,1
2023-01-13T21:00:00,57.6,26.8,30.2,25.1,90.28,1
2023-01-13T22:00:00,35.3,26,26,25,94.18,2
2023-01-13T23:00:00,27,26.2,26.2,24.9,92.62,1
2023-01-14T00:00:00,35.1,26,26,25,94.21,2
2023-01-14T01:00:00,32.6,25.3,25.3,24.7,96.64,2
2023-01-14T02:00:00,31.5,25,25,24.1,94.49,2
2023-01-14T03:00:00,31.6,25,25,24.1,94.5,2
2023-01-14T04:00:00,31.2,25,25,24,94.19,2
2023-01-14T05:00:00,36.9,25,25,24.1,94.49,2
2023-01-14T06:00:00,27.3,25,25,24,94.17,2
2023-01-14T07:00:00,28.4,24.8,24.8,23.9,94.8,2
2023-01-14T08:00:00,51.79,24.9,24.9,24.1,95.13,2
2023-01-14T09:00:00,64.8,26.8,30,24.8,88.81,1
2023-01-14T10:00:00,72.06,28.7,33.1,24,75.68,1
2023-01-14T11:00:00,75.65,29.8,33.9,23.1,67.28,1
2023-01-14T12:00:00,84.1,30.8,35.4,23.2,63.96,1
2023-01-14T13:00:00,95.65,31.8,38.6,24.8,66.5,1
2023-01-14T14:00:00,95.69,31.1,37.7,24.9,69.72,1
2023-01-14T15:00:00,84.77,31.1,37.8,25,70.21,1
2023-01-14T16:00:00,88.57,31.1,37.6,24.8,69.27,1
2023-01-14T17:00:00,82.34,31,36.4,23.9,66,1
2023-01-14T18:00:00,67.74,29,34.6,25,79.06,1
2023-01-14T19:00:00,43.28,28,32.7,25,83.74,1
2023-01-14T20:00:00,34.36,28,32.7,25,83.79,1
2023-01-14T21:00:00,31.76,27.3,31.1,24.7,85.89,1
2023-01-14T22:00:00,22.2,27.1,30.2,23.9,82.84,1
2023-01-14T23:00:00,19.5,27,30.1,24.1,83.96,1
2023-01-15T00:00:00,18.6,26.8,29.7,24,84.79,1
2023-01-15T01:00:00,19.2,26,26,24,88.76,2
2023-01-15T02:00:00,18.8,25.8,25.8,24,89.95,2
2023-01-15T03:00:00,15.1,26,26,24,88.76,2
2023-01-15T04:00:00,15.8,25,25,24,94.19,2
2023-01-15T05:00:00,15.2,24.9,24.9,23.8,93.53,2
2023-01-15T06:00:00,12.6,25,25,24,94.17,2
2023-01-15T07:00:00,11.1,24.8,24.8,23.2,90.81,2
2023-01-15T08:00:00,29.5,25,25,23.2,89.59,2
2023-01-15T09:00:00,48.2,27,30.1,24.1,83.98,1
2023-01-15T10:00:00,61.1,28.8,33.4,24.2,76.22,1
2023-01-15T11:00:00,59.7,27,29.7,23,78.72,1
2023-01-15T12:00:00,54.5,29.1,33.9,24.2,74.94,1
2023-01-15T13:00:00,56.5,27,30.6,25,88.81,1
2023-01-15T14:00:00,54.2,27.1,30.2,23.9,82.8,1
2023-01-15T15:00:00,63.3,27,30.1,24,83.61,1
2023-01-15T16:00:00,73.8,29,33.6,24,74.43,1
2023-01-15T17:00:00,80,29.1,34.6,24.9,78.21,1
2023-01-15T18:00:00,72,29.8,35,24.2,71.96,1
2023-01-15T19:00:00,63,28.8,33.4,24.2,76.25,1
2023-01-15T20:00:00,44.7,27.8,31.5,24,79.97,1
2023-01-15T21:00:00,38.7,27,30.2,24.2,84.52,1
2023-01-15T22:00:00,28,26.7,29.6,24.1,85.36,1
2023-01-15T23:00:00,20.4,26.1,26.1,24.2,89.32,1
2023-01-16T00:00:00,14.6,26,26,24.2,89.64,2
2023-01-16T01:00:00,15.8,25.8,25.8,23.9,89.32,2
2023-01-16T02:00:00,16.9,25.1,25.1,23.9,93.2,2
2023-01-16T03:00:00,15.3,25,25,23,88.66,2
2023-01-16T04:00:00,12.3,25,25,23,88.68,2
2023-01-16T05:00:00,12.1,24.2,24.2,23.1,93.49,2
2023-01-16T06:00:00,11.1,24.1,24.1,23.1,94.12,2
2023-01-16T07:00:00,21.3,24,24,23,94.12,2
