Index,energy,temp,feelslike,dew,humidity,response
720,12.1,26.1,26.1,21.8,77.26,1
721,19.7,26,26,21.8,77.53,2
722,14.1,26,26,21.7,77.3,2
723,14,25.8,25.8,21.2,75.77,2
724,14.3,25,25,22,83.43,2
725,7.67,25.1,25.1,21.6,80.49,2
726,6.9,25,25,22,83.45,2
727,0.01,25,25,22,83.45,2
728,20.2,25,25,21,78.52,2
729,64.4,24.9,24.9,21.2,79.87,2
730,109.8,26.1,26.1,21.2,74.52,1
731,129.9,28,30.5,21.8,68.97,1
732,136.6,28.8,31.6,21.9,66.39,1
733,151.2,30.1,33.4,22,62.08,1
734,164.9,30.8,34.3,22.1,59.77,1
735,172.3,30.7,34.4,22.2,60.36,1
736,138,30.1,33.4,22,62.06,1
737,154.7,30,34.2,23,66.16,1
738,127.5,29.1,32.8,22.9,69.37,1
739,88.2,28.3,31.5,22.7,71.87,1
740,64.6,27.8,30.3,21.9,70.41,1
741,50.6,27.1,29.3,21.9,73.41,1
742,49.6,26.8,28.9,22,75.17,1
743,20.9,26.1,26.1,21.9,77.87,1
744,12.8,25.8,25.8,22.7,83.25,2
745,15.2,25.1,25.1,22.1,83.46,2
746,12.8,25,25,22,83.45,2
747,12.7,25.1,25.1,21.8,82.06,2
748,13.3,25,25,22,83.5,2
749,13.7,25,25,23,88.66,2
750,14.1,24.2,24.2,22.2,88.6,2
751,16,24,24,22,88.6,2
752,20.4,24.8,24.8,21.9,84.02,2
753,61.9,25,25,21.8,82.34,2
754,112.7,26.1,26.1,22.1,78.68,1
755,150.7,28.1,31.2,22.8,73.08,1
756,168.9,29.1,33.5,23.8,73.22,1
757,178.5,30.3,34.7,23.2,65.79,1
758,167.9,32.1,38.1,24.1,62.71,1
759,170.4,32,37,23.2,59.64,1
760,188.2,32,37.9,24,62.68,1
761,139.6,29.3,34.9,24.9,77.2,1
762,106.81,26,26,24.2,89.63,2
763,77.95,25.1,25.1,24,93.85,2
764,62.06,24.8,24.8,23.9,94.8,2
765,60.96,24.1,24.1,23.8,98.29,2
766,59.03,24.7,24.7,23.8,94.5,2
767,31.6,25,25,24,94.19,2
768,29.8,24.2,24.2,23.8,97.63,2
769,27.8,24.7,24.7,23.8,94.5,2
770,23,25,25,24,94.19,2
771,26.7,24.7,24.7,23.2,91.13,2
772,16.8,24.1,24.1,23.7,97.96,2
773,15.7,24.1,24.1,23.2,94.79,2
774,15.2,24.2,24.2,23.7,97.3,2
775,14.9,24,24,24,99.97,2
776,26.6,24.1,24.1,23.7,97.96,2
777,51,24.8,24.8,23.1,90.21,2
778,117.4,25.8,25.8,23.8,88.74,2
779,156.5,27.8,31.6,24.1,80.24,1
780,167.5,28.9,33.3,23.9,74.45,1
781,180.3,29.3,34.1,24.1,73.47,1
782,176.7,31,36.6,24.1,66.58,1
783,160.5,30.2,36.2,24.8,72.85,1
784,169.5,29.8,35.7,24.9,75.02,1
785,146.5,28.1,32.7,24.8,82.33,1
786,100.2,28,33.5,26,88.93,1
787,76.9,26.1,26.1,24.2,89.41,1
788,72.4,25.3,25.3,24,92.61,2
789,53.4,25,25,23.9,93.55,2
790,41.5,25,25,24,94.19,2
791,21.7,25,25,24.1,94.51,2
792,17.3,25,25,23.9,93.56,2
793,13.8,24.8,24.8,23.8,94.18,2
794,12.5,25,25,23.9,93.56,2
795,12.3,24.8,24.8,23.8,94.18,2
796,11.2,24.3,24.3,23.7,96.65,2
797,12.2,24.3,24.3,23.8,96.97,2
798,14.6,24.7,24.7,23.8,94.48,2
799,12.8,24,24,24,99.97,2
800,20,24,24,23,94.15,2
801,50.5,23.9,23.9,23.1,95.11,2
802,91.6,26,26,24.1,89.05,2
803,122.3,28,32.7,25,83.77,1
804,105.8,28.1,32.2,24.2,79.46,1
805,90,28,32.7,25,83.79,1
806,83.3,27.1,30.7,24.9,87.95,1
807,83.3,27.8,32.1,24.7,83.48,1
808,90.7,28,32,24,78.94,1
809,99.3,28,32,24,78.94,1
810,89.55,28.7,32.4,23,71.3,1
811,73.45,28,31.9,24,78.9,1
812,64.7,27.8,31.5,23.9,79.42,1
813,46.2,27,30,23.7,82.27,1
814,34,26,26,23,83.57,2
815,17.6,26.1,26.1,22.9,82.72,1
816,14.1,25.8,25.8,22.8,83.56,2
817,19.1,25,25,23,88.7,2
818,14.3,25,25,23,88.7,2
819,14.3,24.8,24.8,22.2,85.49,2
820,11.9,25.1,25.1,22.1,83.5,2
821,11.9,24.8,24.8,22.7,88.38,2
822,13.1,24.3,24.3,22.9,91.94,2
823,11.1,24,24,23,94.12,2
824,12.4,24.1,24.1,22.7,92.23,2
825,14.7,24,24,22.8,92.87,2
826,39.3,25,25,23,88.7,2
827,57.2,28.1,30.8,22.2,70.46,1
828,61.1,28.8,32.3,22.9,70.55,1
829,69.4,30.7,35.2,23.1,63.75,1
830,76.6,30,34.2,23,66.15,1
831,78.9,31.1,35.7,23.2,62.92,1
832,65.8,31.1,36.3,23.7,65.01,1
833,67.2,32,37.9,24,62.7,1
834,63.3,31.9,37.6,23.9,62.64,1
835,59.5,31.1,35.7,23.2,62.95,1
836,47.8,29,33.6,24,74.47,1
837,37.6,26.8,29.2,22.8,78.73,1
838,31.2,26.1,26.1,22.9,82.7,1
839,19.5,27.1,29.3,22.1,74.2,1
840,14.8,27.1,29.3,22,73.95,1
841,12.9,27,29.2,22,74.18,1
842,10.3,26.8,29.2,22.9,79.33,1
843,12.7,26.7,28.8,22,75.43,1
844,12.9,26,26,23,83.57,2
845,14.3,25,25,22,83.5,2
846,15.5,25.1,25.1,22.7,86.89,2
847,13.3,24,24,22,88.6,2
848,13.9,24.1,24.1,22.7,92.22,2
849,18.3,25.1,25.1,21.8,82.06,2
850,26.5,26.7,29.2,23.1,80.4,1
851,47.3,28,31.9,24,78.9,1
852,62.4,29,32.1,22.2,66.67,1
853,61.7,30,34.1,22.9,65.73,1
854,64.7,31,35.5,23,62.48,1
855,73.1,31.1,35.6,23,62.28,1
856,65.1,31.1,36.6,24,66.15,1
857,67.3,30,35.9,24.7,73.32,1
858,69.9,29.1,34.4,24.8,77.69,1
859,49,28.1,32.6,24.8,82.36,1
860,36.2,28,32.5,24.7,82.37,1
861,30.8,27.1,30.2,24.1,83.71,1
862,28.5,27,30.1,24,83.72,1
863,22,26,26,23,83.61,2
864,16.9,26.1,26.1,23,83.33,1
865,12.4,26.3,26.3,22.9,81.66,1
866,13.3,26,26,23,83.61,2
867,10.9,25.3,25.3,23.1,87.52,2
868,10.5,23,23,22,94.11,2
869,10.2,23,23,22,94.08,2
870,10,22.7,22.7,21.7,94.1,2
871,9.1,23,23,22,94.1,2
872,13.6,22.8,22.8,21.9,94.73,2
873,20.5,22.8,22.8,21.9,94.75,2
874,30.1,22.8,22.8,22.1,95.73,2
875,54.3,23.8,23.8,22.8,94.13,2
876,62.6,24.3,24.3,22.9,91.94,2
