Epoch: 53699, RMSE: 0.6169641017913818, Test RMSE: 0.6221238970756531, G_loss: -10.991313934326172, D_loss: -25.748149871826172, grad_pen: 8.381062839321324
Epoch: 53799, RMSE: 0.7683231830596924, Test RMSE: 0.5761104226112366, G_loss: -12.993301391601562, D_loss: -25.278406143188477, grad_pen: 7.639478848121012
Epoch: 53899, RMSE: 0.6403299570083618, Test RMSE: 0.6354584097862244, G_loss: -10.798337936401367, D_loss: -25.758947372436523, grad_pen: 8.01442863228525
Epoch: 53999, RMSE: 0.5855548977851868, Test RMSE: 0.5862101912498474, G_loss: -10.816675186157227, D_loss: -25.488746643066406, grad_pen: 7.509613260488171
Epoch: 54099, RMSE: 0.5975425839424133, Test RMSE: 0.609304666519165, G_loss: -11.704933166503906, D_loss: -25.94948387145996, grad_pen: 7.963514846020115
Epoch: 54199, RMSE: 0.6693170070648193, Test RMSE: 0.6108826994895935, G_loss: -7.4267706871032715, D_loss: -23.286237716674805, grad_pen: 9.886102733364122
Epoch: 54299, RMSE: 0.591644823551178, Test RMSE: 0.5841836929321289, G_loss: -14.673420906066895, D_loss: -25.330841064453125, grad_pen: 8.015083047411864
Epoch: 54399, RMSE: 0.5934333205223083, Test RMSE: 0.5757222771644592, G_loss: -10.15249252319336, D_loss: -25.985321044921875, grad_pen: 8.18376937891939
Epoch: 54499, RMSE: 0.6113098859786987, Test RMSE: 0.6500274538993835, G_loss: -3.049448251724243, D_loss: -25.494529724121094, grad_pen: 8.932044119145676
Epoch: 54599, RMSE: 0.5735359787940979, Test RMSE: 0.6092519164085388, G_loss: -12.568624496459961, D_loss: -25.047170639038086, grad_pen: 8.099489021958513
Epoch: 54699, RMSE: 0.5721407532691956, Test RMSE: 0.5886685848236084, G_loss: -6.653893947601318, D_loss: -25.56937026977539, grad_pen: 8.083647908887201
Epoch: 54799, RMSE: 0.6116107702255249, Test RMSE: 0.6054403781890869, G_loss: -9.776704788208008, D_loss: -25.6560115814209, grad_pen: 6.757593585463378
Epoch: 54899, RMSE: 0.6835736036300659, Test RMSE: 0.5985545516014099, G_loss: -20.529613494873047, D_loss: -24.93392562866211, grad_pen: 8.206246846131629
Epoch: 54999, RMSE: 0.5989099740982056, Test RMSE: 0.6260362267494202, G_loss: -6.937111854553223, D_loss: -25.045543670654297, grad_pen: 8.457689982829065
Epoch: 55099, RMSE: 0.6013923287391663, Test RMSE: 0.6274521350860596, G_loss: -8.803628921508789, D_loss: -25.795719146728516, grad_pen: 8.416030117507862
Epoch: 55199, RMSE: 0.6565846800804138, Test RMSE: 0.6539520621299744, G_loss: -14.611852645874023, D_loss: -25.5584716796875, grad_pen: 7.787140310127753
Epoch: 55299, RMSE: 0.8340086936950684, Test RMSE: 0.6793330907821655, G_loss: -26.02120590209961, D_loss: -21.28011703491211, grad_pen: 9.084485126628032
Epoch: 55399, RMSE: 0.610541045665741, Test RMSE: 0.6890665888786316, G_loss: -27.552207946777344, D_loss: -25.31214714050293, grad_pen: 7.210177093920759
Epoch: 55499, RMSE: 0.5613142848014832, Test RMSE: 0.5727055668830872, G_loss: -22.87819480895996, D_loss: -25.086612701416016, grad_pen: 8.430274904384392
Epoch: 55599, RMSE: 0.6688891649246216, Test RMSE: 0.5931155681610107, G_loss: -4.19457483291626, D_loss: -23.832515716552734, grad_pen: 6.244378152616388
Epoch: 55699, RMSE: 0.7353596091270447, Test RMSE: 0.8453153967857361, G_loss: -21.431743621826172, D_loss: -25.80340576171875, grad_pen: 7.678855617090251
Epoch: 55799, RMSE: 0.5959641933441162, Test RMSE: 0.6379662156105042, G_loss: -21.86726951599121, D_loss: -24.947723388671875, grad_pen: 10.149714054363013
Epoch: 55899, RMSE: 0.5714735984802246, Test RMSE: 0.5757676959037781, G_loss: 4.8769755363464355, D_loss: -23.67825698852539, grad_pen: 9.072742923509386
Epoch: 55999, RMSE: 0.5902871489524841, Test RMSE: 0.6650746464729309, G_loss: -10.67658805847168, D_loss: -24.57404327392578, grad_pen: 5.5400820491800475
Epoch: 56099, RMSE: 0.5818153619766235, Test RMSE: 0.6244649291038513, G_loss: -5.322232246398926, D_loss: -25.425472259521484, grad_pen: 8.333762538058755
Epoch: 56199, RMSE: 0.6269089579582214, Test RMSE: 0.6365088820457458, G_loss: -20.76137351989746, D_loss: -25.26850128173828, grad_pen: 8.206359790603294
Epoch: 56299, RMSE: 0.5914653539657593, Test RMSE: 0.5785024762153625, G_loss: -23.1395263671875, D_loss: -25.751853942871094, grad_pen: 7.239250889179685
Epoch: 56399, RMSE: 0.6187425851821899, Test RMSE: 0.6845864653587341, G_loss: -18.396448135375977, D_loss: -25.874420166015625, grad_pen: 8.621144107782158
Epoch: 56499, RMSE: 0.6026948094367981, Test RMSE: 0.6071455478668213, G_loss: -18.605159759521484, D_loss: -25.086219787597656, grad_pen: 11.32694338048906
Epoch: 56599, RMSE: 0.6017487645149231, Test RMSE: 0.5968232750892639, G_loss: -15.15915298461914, D_loss: -25.6706485748291, grad_pen: 8.631422337498911
Epoch: 56699, RMSE: 0.5440688133239746, Test RMSE: 0.5888789296150208, G_loss: -17.312721252441406, D_loss: -25.806961059570312, grad_pen: 9.865889817600513
Epoch: 56799, RMSE: 0.5882771611213684, Test RMSE: 0.6549509763717651, G_loss: -19.96495819091797, D_loss: -25.61757469177246, grad_pen: 7.992468006260768
Epoch: 56899, RMSE: 0.5642795562744141, Test RMSE: 0.642483651638031, G_loss: -21.186511993408203, D_loss: -26.127208709716797, grad_pen: 7.483299250120716
Epoch: 56999, RMSE: 0.59405517578125, Test RMSE: 0.5820808410644531, G_loss: -28.868118286132812, D_loss: -25.341251373291016, grad_pen: 12.058957478377367
Epoch: 57099, RMSE: 0.5677339434623718, Test RMSE: 0.5746567249298096, G_loss: -17.427574157714844, D_loss: -25.395263671875, grad_pen: 9.459956276673031
Epoch: 57199, RMSE: 0.6521013975143433, Test RMSE: 0.7626482844352722, G_loss: -18.317916870117188, D_loss: -26.155406951904297, grad_pen: 9.677506661238425
Epoch: 57299, RMSE: 0.5773440599441528, Test RMSE: 0.6082097887992859, G_loss: -20.414398193359375, D_loss: -26.293582916259766, grad_pen: 8.38445223465997
Epoch: 57399, RMSE: 0.5794350504875183, Test RMSE: 0.5922715663909912, G_loss: -18.595949172973633, D_loss: -25.89923095703125, grad_pen: 7.774368613459436
Epoch: 57499, RMSE: 0.5837228894233704, Test RMSE: 0.5924085974693298, G_loss: -17.72085189819336, D_loss: -25.78380584716797, grad_pen: 9.201346975454648
Epoch: 57599, RMSE: 0.5818229913711548, Test RMSE: 0.5750779509544373, G_loss: -20.221757888793945, D_loss: -24.51056480407715, grad_pen: 9.010576049072759
Epoch: 57699, RMSE: 0.5883150696754456, Test RMSE: 0.5897219777107239, G_loss: -19.896209716796875, D_loss: -26.671354293823242, grad_pen: 8.540353406721696
Epoch: 57799, RMSE: 0.6531743407249451, Test RMSE: 0.5951547026634216, G_loss: -16.551918029785156, D_loss: -26.327777862548828, grad_pen: 9.033486646595458
Epoch: 57899, RMSE: 0.5552917122840881, Test RMSE: 0.5952659845352173, G_loss: -18.37759780883789, D_loss: -26.413537979125977, grad_pen: 8.684618313261671
Epoch: 57999, RMSE: 0.635973334312439, Test RMSE: 0.590684711933136, G_loss: -19.279706954956055, D_loss: -26.448532104492188, grad_pen: 8.670439974420107
Epoch: 58099, RMSE: 0.6202229857444763, Test RMSE: 0.6280661821365356, G_loss: -21.645708084106445, D_loss: -23.142719268798828, grad_pen: 6.73594360599575
Epoch: 58199, RMSE: 0.6745080947875977, Test RMSE: 0.6330427527427673, G_loss: -19.016952514648438, D_loss: -26.029617309570312, grad_pen: 9.517752830213569
Epoch: 58299, RMSE: 0.6538954377174377, Test RMSE: 0.6084964275360107, G_loss: -20.195772171020508, D_loss: -26.188068389892578, grad_pen: 9.944125036389734
Epoch: 58399, RMSE: 0.6097873449325562, Test RMSE: 0.5796743035316467, G_loss: -20.03493881225586, D_loss: -26.828697204589844, grad_pen: 8.948176937905966
Epoch: 58499, RMSE: 0.6322073936462402, Test RMSE: 0.69705730676651, G_loss: -19.966819763183594, D_loss: -26.74974822998047, grad_pen: 8.082614690094342
Epoch: 58599, RMSE: 0.6369707584381104, Test RMSE: 0.5946723818778992, G_loss: -18.9134464263916, D_loss: -26.34717559814453, grad_pen: 9.093077645403797
Epoch: 58699, RMSE: 0.5804963111877441, Test RMSE: 0.6652368307113647, G_loss: -21.714916229248047, D_loss: -26.83104133605957, grad_pen: 7.829321125780362
Epoch: 58799, RMSE: 0.5875452756881714, Test RMSE: 0.5985360741615295, G_loss: -22.360027313232422, D_loss: -26.714462280273438, grad_pen: 10.667730921888328
Epoch: 58899, RMSE: 0.7201657891273499, Test RMSE: 0.694233775138855, G_loss: -13.011734962463379, D_loss: -21.93140411376953, grad_pen: 7.045753106000085
Epoch: 58999, RMSE: 0.5751246809959412, Test RMSE: 0.6501634120941162, G_loss: -20.11183738708496, D_loss: -24.88823699951172, grad_pen: 9.66100228172349
Epoch: 59099, RMSE: 0.5674408078193665, Test RMSE: 0.6525239944458008, G_loss: -20.569168090820312, D_loss: -25.947494506835938, grad_pen: 7.124947009743297
Epoch: 59199, RMSE: 0.5869399309158325, Test RMSE: 0.6139774322509766, G_loss: -23.04025650024414, D_loss: -26.066333770751953, grad_pen: 7.071102566002847
Epoch: 59299, RMSE: 0.6128591299057007, Test RMSE: 0.6052746772766113, G_loss: -21.582080841064453, D_loss: -26.000629425048828, grad_pen: 7.6386902243319525
Epoch: 59399, RMSE: 0.5882766842842102, Test RMSE: 0.5790783762931824, G_loss: -17.81292724609375, D_loss: -26.215518951416016, grad_pen: 8.745345964759231
Epoch: 59499, RMSE: 0.6007553339004517, Test RMSE: 0.5755488276481628, G_loss: -19.11132049560547, D_loss: -26.92978286743164, grad_pen: 8.468531657858316
Epoch: 59599, RMSE: 0.593454897403717, Test RMSE: 1.2551155090332031, G_loss: -19.983142852783203, D_loss: -13.614202499389648, grad_pen: 4.9060147122052395
Epoch: 59699, RMSE: 0.6284037232398987, Test RMSE: 0.5840498208999634, G_loss: -20.70157241821289, D_loss: -25.816875457763672, grad_pen: 8.473236767904968
Epoch: 59799, RMSE: 0.6175339221954346, Test RMSE: 0.6110989451408386, G_loss: -24.03912925720215, D_loss: -26.206348419189453, grad_pen: 6.863333778647696
Epoch: 59899, RMSE: 0.5510481595993042, Test RMSE: 0.5685480237007141, G_loss: -15.106049537658691, D_loss: -25.200706481933594, grad_pen: 5.534874815349142
Epoch: 59999, RMSE: 0.6106180548667908, Test RMSE: 0.6032793521881104, G_loss: -23.287090301513672, D_loss: -25.628910064697266, grad_pen: 6.667239484795763
